exam_center,CENTRE CATEGORY,CENTRE POSITION IN ITS CATEGORY(NATIONWISE),CENTRE POSITION IN ITS CATEGORY(REGIONWISE),EXAMINATION CENTRE GPA,EXAMINATION CENTRE REGION,TOTAL PASSED CANDIDATES,REGIST,ABSENT,SAT,WITHHELD,NO-CA,CLEAN,DIV I,DIV II,DIV III,DIV IV,DIV 0
S0167 KIDUGALA LUTHERAN SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,118/3488,5/89,2.3273,NJOMBE,73,73,0,73,0,0,73,21,47,5,0,0
S0168 SANU SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,39/3488,1/98,1.8250,MANYARA,40,40,0,40,0,0,40,30,10,0,0,0
S0169 BIHAWANA JUNIOR SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,23/1371,1/94,2.4938,DODOMA,36,36,0,36,0,0,36,9,19,7,1,0
S0171 ARUSHA CATHOLIC SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,20/1371,1/45,2.3985,ARUSHA,34,34,0,34,0,0,34,8,23,3,0,0
S0172 DON BOSCO SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,26/3488,3/130,1.7292,IRINGA,47,47,0,47,0,0,47,40,7,0,0,0
S0173 NYAMILAMA,CENTRE WITH 40 CANDIDATES OR MORE,752/3488,53/241,3.6847,MWANZA,126,145,6,139,0,0,139,6,13,36,71,13
S0174 CONSOLATA SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,4/1371,2/32,1.9417,IRINGA,30,30,0,30,0,0,30,20,10,0,0,0
S0176 LUSANGI MORAVIAN JUNIOR SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,430/1371,31/75,3.8320,TABORA,27,32,0,32,0,0,32,0,3,10,14,5
S0177 ST. MARY'S JUNIOR SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,83/3488,10/115,2.1549,PWANI,41,41,0,41,0,0,41,20,18,3,0,0
S0178 MANOW LUTHERAN JUNIOR SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,550/3488,28/174,3.4313,MBEYA,54,57,1,56,0,0,56,4,12,18,20,2
S0179 ST. MARY'S SEMINARY MBALIZI,CENTRE WITH LESS THAN 40 CANDIDATES,14/1371,1/37,2.2661,MBEYA,31,31,0,31,0,0,31,13,14,4,0,0
S0180 ST. FRANCIS DE SALES SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,19/1371,4/76,2.3932,MOROGORO,37,37,0,37,0,0,37,9,24,4,0,0
S0181 KISARAWE LUTHERAN JUNIOR SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,568/3488,30/115,3.4550,PWANI,90,91,0,91,0,0,91,3,18,31,38,1
S0182 AL-FAROUQ SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,59/1371,7/62,2.8798,DAR ES SALAAM,38,38,0,38,0,0,38,3,20,10,5,0
S0183 STELLA MATUTINA LIGHANO SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,12/1371,1/74,2.2616,RUVUMA,35,35,0,35,0,0,35,15,13,6,1,0
S0184 AGAPE LUTHERAN J SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,109/3488,15/270,2.3039,KILIMANJARO,68,69,1,68,0,0,68,23,38,7,0,0
S0185 SENGEREMA SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,7/1371,1/21,1.9852,MWANZA,27,27,0,27,0,0,27,15,12,0,0,0
S0186 RONDO JUNIOR SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,530/3488,3/45,3.3921,LINDI,44,45,0,45,0,0,45,0,11,19,14,1
S0187 AN-NOOR ISLAMIC BOYS SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,86/1371,4/92,3.1029,TANGA,31,31,0,31,0,0,31,2,9,14,6,0
S0188 KIRINJIKO ISLAMIC SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,295/3488,39/270,2.9796,KILIMANJARO,205,206,1,205,0,0,205,31,64,63,47,0
S0189 FEZA BOYS',CENTRE WITH 40 CANDIDATES OR MORE,23/3488,7/239,1.7229,DAR ES SALAAM,72,73,1,72,0,0,72,55,16,1,0,0
S0190 ST. JOSEPH-KILOCHA SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,5/1371,1/28,1.9446,NJOMBE,37,37,0,37,0,0,37,23,14,0,0,0
S0191 ST. MATHIAS MULUMBA,CENTRE WITH LESS THAN 40 CANDIDATES,62/1371,2/58,2.8944,KIGOMA,36,37,1,36,0,0,36,2,16,14,4,0
S0192 ST. JOHN'S SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,377/3488,7/98,3.1573,SINGIDA,62,62,0,62,0,0,62,5,18,26,13,0
S0194 FARAJA SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,192/3488,26/270,2.6517,KILIMANJARO,134,134,0,134,0,0,134,26,59,43,6,0
S0195 ST. CAROLI,CENTRE WITH 40 CANDIDATES OR MORE,482/3488,36/241,3.3280,MWANZA,92,110,1,109,17,0,92,6,20,31,35,0
S0196 ST. THOMAS MORE KIBOGORA,CENTRE WITH 40 CANDIDATES OR MORE,235/3488,8/113,2.7733,KIGOMA,72,72,0,72,0,0,72,9,35,26,2,0
S0197 MATANGINI ISLAMIC SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,497/3488,60/239,3.3511,DAR ES SALAAM,62,62,0,62,0,0,62,2,15,23,22,0
S0198 AILANGA LUTHERAN JUNIOR SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,199/3488,11/173,2.6710,ARUSHA,80,80,0,80,0,0,80,7,53,18,2,0
S0199 MSAMALA MUSLIM SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,560/3488,14/115,3.4473,RUVUMA,67,68,1,67,0,0,67,2,15,20,30,0
S0203 IRINGA GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,286/3488,12/130,2.9677,IRINGA,115,120,0,120,0,0,120,25,39,24,27,5
S0204 JANGWANI,CENTRE WITH 40 CANDIDATES OR MORE,239/3488,32/239,2.7867,DAR ES SALAAM,280,294,2,292,0,0,292,69,107,59,45,12
S0205 KIBOSHO GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,108/3488,14/270,2.2997,KILIMANJARO,140,140,0,140,0,0,140,54,70,15,1,0
S0206 KILAKALA,CENTRE WITH 40 CANDIDATES OR MORE,76/3488,5/159,2.1318,MOROGORO,80,80,0,80,0,0,80,40,26,10,4,0
S0207 KIRAENI GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,172/3488,23/270,2.5869,KILIMANJARO,104,104,0,104,0,0,104,21,58,20,5,0
S0208 KISUTU,CENTRE WITH 40 CANDIDATES OR MORE,319/3488,40/239,3.0396,DAR ES SALAAM,171,179,0,179,0,0,179,18,74,49,30,8
S0209 KOROGWE GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,436/3488,14/188,3.2461,TANGA,53,55,0,55,0,0,55,6,13,18,16,2
S0210 BIGWA SISTERS SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,156/3488,10/159,2.5293,MOROGORO,46,46,0,46,0,0,46,10,27,7,2,0
S0213 MASASI GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,1760/3488,29/99,4.0511,MTWARA,47,56,0,56,0,0,56,0,5,7,35,9
S0214 MSALATO,CENTRE WITH 40 CANDIDATES OR MORE,102/3488,3/117,2.2911,DODOMA,117,117,0,117,0,0,117,62,24,19,12,0
S0215 MTWARA GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,561/3488,7/99,3.4486,MTWARA,51,53,1,52,0,0,52,4,12,8,27,1
S0216 NGANZA,CENTRE WITH 40 CANDIDATES OR MORE,141/3488,15/241,2.4485,MWANZA,40,40,0,40,0,0,40,6,28,6,0,0
S0217 PERAMIHO GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,53/3488,1/115,2.0293,RUVUMA,62,62,0,62,0,0,62,36,26,0,0,0
S0218 RUGAMBWA,CENTRE WITH 40 CANDIDATES OR MORE,351/3488,26/200,3.1049,KAGERA,123,126,0,126,0,0,126,20,35,28,40,3
S0220 TABORA GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,90/3488,2/98,2.2077,TABORA,89,90,1,89,0,0,89,46,28,11,4,0
S0222 ZANAKI,CENTRE WITH 40 CANDIDATES OR MORE,443/3488,52/239,3.2739,DAR ES SALAAM,212,223,2,221,0,0,221,10,73,65,64,9
S0223 MASAMA GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,301/3488,40/270,2.9985,KILIMANJARO,65,67,0,67,0,0,67,7,24,25,9,2
S0224 KIFUNGILO GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,21/3488,1/188,1.6942,TANGA,90,90,0,90,0,0,90,80,10,0,0,0
S0225 CAGLIERO GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,739/3488,28/130,3.6774,IRINGA,52,55,0,55,0,0,55,3,5,15,29,3
S0226 KAGUNGULI,CENTRE WITH LESS THAN 40 CANDIDATES,33/1371,2/21,2.7059,MWANZA,27,28,1,27,0,0,27,5,11,11,0,0
S0230 KIBONDO,CENTRE WITH 40 CANDIDATES OR MORE,310/3488,11/113,3.0250,KIGOMA,46,46,0,46,0,0,46,5,17,13,11,0
S0231 SUMVE GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,388/3488,29/241,3.1790,MWANZA,63,63,0,63,0,0,63,1,17,35,10,0
S0232 HEKIMA,CENTRE WITH 40 CANDIDATES OR MORE,129/3488,8/200,2.3934,KAGERA,80,80,0,80,0,0,80,19,55,6,0,0
S0233 ST. MARY'S MAZINDE JUU,CENTRE WITH 40 CANDIDATES OR MORE,33/3488,2/188,1.8040,TANGA,119,119,0,119,0,0,119,93,23,3,0,0
S0234 ST. LUISE MBINGA GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,66/3488,2/115,2.0934,RUVUMA,75,75,0,75,0,0,75,42,32,0,1,0
S0235 BUKUMBI,CENTRE WITH 40 CANDIDATES OR MORE,338/3488,26/241,3.0783,MWANZA,131,132,1,131,0,0,131,11,41,49,30,0
S0236 KILIMANJARO ACADEMY,CENTRE WITH LESS THAN 40 CANDIDATES,107/1371,9/46,3.1650,KILIMANJARO,33,34,0,34,0,0,34,2,13,10,8,1
S0237 ST. AGNES CHIPOLE,CENTRE WITH 40 CANDIDATES OR MORE,193/3488,6/115,2.6522,RUVUMA,102,102,0,102,0,0,102,17,58,25,2,0
S0239 ST. FRANCIS GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,1/3488,1/174,1.2312,MBEYA,91,91,0,91,0,0,91,91,0,0,0,0
S0240 ST. JOSEPH GIRLS SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,132/3488,14/241,2.4058,MWANZA,76,76,0,76,0,0,76,22,43,11,0,0
S0241 KOWAK GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,74/3488,1/157,2.1284,MARA,88,88,0,88,0,0,88,44,42,1,1,0
S0242 ST. MARGARET,CENTRE WITH LESS THAN 40 CANDIDATES,276/1371,15/46,3.6322,KILIMANJARO,30,30,0,30,0,0,30,1,4,9,16,0
S0243 USANGI GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,2859/3488,224/270,4.2947,KILIMANJARO,29,41,0,41,0,0,41,0,1,4,24,12
S0244 MTWARA SISTERS SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,506/3488,6/99,3.3658,MTWARA,41,41,0,41,0,0,41,3,7,18,13,0
S0245 PALLOTI GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,139/3488,3/98,2.4411,SINGIDA,74,74,0,74,0,0,74,25,35,10,4,0
S0246 MAASAE GIRLS LUTHERAN,CENTRE WITH 40 CANDIDATES OR MORE,258/3488,16/173,2.8614,ARUSHA,64,65,0,65,0,0,65,8,28,24,4,1
S0247 BONICONSILI MABAMBA GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,75/3488,2/113,2.1286,KIGOMA,91,92,1,91,0,0,91,43,45,3,0,0
S0248 MARIAN GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,8/3488,3/115,1.5376,PWANI,113,113,0,113,0,0,113,110,3,0,0,0
S0249 LORETO GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,60/3488,8/241,2.0588,MWANZA,99,99,0,99,0,0,99,53,45,1,0,0
S0250 MURIGHA,CENTRE WITH 40 CANDIDATES OR MORE,294/3488,5/98,2.9790,SINGIDA,81,81,0,81,0,0,81,8,35,26,12,0
S0251 AT-TAAUN ISLAMIC GIRLS SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,123/1371,8/76,3.2497,MOROGORO,25,27,2,25,0,0,25,0,10,4,11,0
S0252 AL-KHEIR ISLAMIC GIRLS SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,74/1371,3/92,2.9880,TANGA,37,37,0,37,0,0,37,6,7,17,7,0
S0254 WALI-UL-ASR GIRLS SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,344/3488,22/115,3.0884,PWANI,49,49,0,49,0,0,49,1,23,16,9,0
S0255 ST. CHRISTINA GIRL'S,CENTRE WITH 40 CANDIDATES OR MORE,82/3488,5/188,2.1549,TANGA,68,68,0,68,0,0,68,33,30,5,0,0
S0256 HURUMA GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,65/3488,2/117,2.0933,DODOMA,45,45,0,45,0,0,45,22,23,0,0,0
S0257 MCF-MAKAMBAKO GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,593/3488,18/89,3.4986,NJOMBE,89,93,1,92,0,0,92,3,16,34,36,3
S0258 BARAMBA GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,488/3488,34/200,3.3344,KAGERA,57,59,1,58,1,0,57,3,12,16,26,0
S0259 SAMARITAN GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,711/3488,35/174,3.6517,MBEYA,51,53,1,52,0,0,52,1,8,12,30,1
S0260 ST. ANN'S GIRLS SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,99/3488,6/159,2.2760,MOROGORO,73,73,0,73,0,0,73,32,31,9,1,0
S0261 MLIMBA GIRLS HIGH,CENTRE WITH 40 CANDIDATES OR MORE,383/3488,21/159,3.1722,MOROGORO,48,50,2,48,0,0,48,3,14,22,9,0
S0262 AMANI GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,81/3488,1/98,2.1537,SINGIDA,95,95,0,95,0,0,95,45,43,6,1,0
S0263 VISITATION GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,37/3488,3/270,1.8140,KILIMANJARO,73,73,0,73,0,0,73,64,8,1,0,0
S0264 BARBRO-JOHANSSON,CENTRE WITH 40 CANDIDATES OR MORE,205/3488,25/239,2.6998,DAR ES SALAAM,81,81,0,81,0,0,81,15,33,29,4,0
S0265 CORNELIUS GIRLS,CENTRE WITH LESS THAN 40 CANDIDATES,96/1371,11/62,3.1357,DAR ES SALAAM,21,21,0,21,0,0,21,1,5,14,1,0
S0266 REGINA MUNDI GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,337/3488,19/159,3.0772,MOROGORO,75,75,0,75,0,0,75,5,21,40,9,0
S0267 ROSE MARIE GIRLS HIGH SCHOOL,CENTRE WITH LESS THAN 40 CANDIDATES,334/1371,16/47,3.7155,PWANI,8,10,0,10,0,0,10,0,3,1,4,2
S0268 BETHEL SABS GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,10/3488,1/130,1.6041,IRINGA,74,74,0,74,0,0,74,71,3,0,0,0
S0269 ANWARITE GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,13/3488,2/270,1.6404,KILIMANJARO,78,78,0,78,0,0,78,69,9,0,0,0
S0270 ST. GETRUDE GIRLS,CENTRE WITH LESS THAN 40 CANDIDATES,162/1371,7/28,3.3589,NJOMBE,39,39,0,39,0,0,39,0,9,17,13,0
S0271 MANYUNYU,CENTRE WITH 40 CANDIDATES OR MORE,1146/3488,31/89,3.8811,NJOMBE,92,98,0,98,0,0,98,0,15,20,57,6
S0272 AL-IHSAN GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,445/3488,10/57,3.2766,MJINI MAGHARIBI,59,60,1,59,0,0,59,3,14,24,18,0
S0273 ST. AGNES KWIRO GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,248/3488,14/159,2.8221,MOROGORO,49,49,0,49,0,0,49,6,23,16,4,0
S0274 SUNSHINE,CENTRE WITH 40 CANDIDATES OR MORE,326/3488,21/115,3.0544,PWANI,85,86,1,85,0,0,85,8,31,32,14,0
S0275 GLENRONS GIRL'S,CENTRE WITH LESS THAN 40 CANDIDATES,587/1371,33/62,3.9479,DAR ES SALAAM,35,38,0,38,0,0,38,0,2,10,23,3
S0277 SPRING VALLEY,CENTRE WITH 40 CANDIDATES OR MORE,315/3488,14/130,3.0355,IRINGA,78,79,1,78,0,0,78,7,28,31,12,0
S0278 IGUMBILO,CENTRE WITH 40 CANDIDATES OR MORE,140/3488,5/174,2.4481,MBEYA,73,73,0,73,0,0,73,22,37,14,0,0
S0279 EMMABERG GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,472/3488,14/89,3.3188,NJOMBE,70,70,0,70,0,0,70,5,14,25,26,0
S0280 UMMU-SALAMA,CENTRE WITH LESS THAN 40 CANDIDATES,1094/1371,39/47,4.2914,PWANI,28,34,0,34,0,0,34,0,0,1,27,6
S0283 JOHN THE BAPTIST,CENTRE WITH LESS THAN 40 CANDIDATES,158/1371,15/62,3.3488,DAR ES SALAAM,21,22,1,21,0,0,21,1,6,4,10,0
S0284 RONECA GIRL'S,CENTRE WITH 40 CANDIDATES OR MORE,409/3488,23/115,3.2056,PWANI,87,87,0,87,0,0,87,4,25,36,22,0
S0285 ST THERESIA GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,317/3488,3/51,3.0369,RUKWA,110,110,0,110,0,0,110,11,39,40,20,0
S0286 JAMES SANGU,CENTRE WITH 40 CANDIDATES OR MORE,127/3488,2/70,2.3679,SONGWE,84,85,1,84,0,0,84,21,56,7,0,0
S0287 KIPOK GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,991/3488,59/173,3.8258,ARUSHA,99,108,0,108,0,0,108,0,10,28,61,9
S0289 SOLACE GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,165/3488,6/174,2.5554,MBEYA,84,84,0,84,0,0,84,21,35,27,1,0
S0291 GHOMME,CENTRE WITH LESS THAN 40 CANDIDATES,130/1371,13/62,3.2677,DAR ES SALAAM,32,33,0,33,0,0,33,1,10,13,8,1
S0293 ATHENA,CENTRE WITH LESS THAN 40 CANDIDATES,496/1371,19/47,3.8915,PWANI,25,29,0,29,0,0,29,1,2,5,17,4
S0294 MT.CARMEL,CENTRE WITH 40 CANDIDATES OR MORE,355/3488,13/113,3.1185,KIGOMA,81,81,0,81,0,0,81,4,26,38,13,0
S0295 PRECIOUS BLOOD,CENTRE WITH 40 CANDIDATES OR MORE,7/3488,1/173,1.5341,ARUSHA,91,91,0,91,0,0,91,88,3,0,0,0
S0296 BWERANYANGE GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,455/3488,32/200,3.2925,KAGERA,58,58,0,58,0,0,58,1,17,18,22,0
S0297 QUEEN OF FAMILY,CENTRE WITH 40 CANDIDATES OR MORE,40/3488,1/108,1.8297,SHINYANGA,69,69,0,69,0,0,69,54,14,1,0,0
S0298 FEZA GIRLS',CENTRE WITH 40 CANDIDATES OR MORE,19/3488,4/239,1.6867,DAR ES SALAAM,56,56,0,56,0,0,56,47,9,0,0,0
S0302 ARUSHA,CENTRE WITH 40 CANDIDATES OR MORE,2156/3488,129/173,4.1352,ARUSHA,209,287,5,282,0,0,282,4,14,41,150,73
S0304 BUKOBA,CENTRE WITH 40 CANDIDATES OR MORE,442/3488,31/200,3.2706,KAGERA,139,153,2,151,0,0,151,18,38,39,44,12
S0305 BULUBA,CENTRE WITH 40 CANDIDATES OR MORE,1355/3488,50/108,3.9518,SHINYANGA,76,91,1,90,1,0,89,1,7,16,52,13
S0306 DODOMA,CENTRE WITH 40 CANDIDATES OR MORE,1800/3488,48/117,4.0621,DODOMA,154,223,2,221,0,0,221,5,20,36,93,67
S0307 DODOMA CENTRAL,CENTRE WITH 40 CANDIDATES OR MORE,804/3488,16/117,3.7286,DODOMA,61,97,3,94,19,0,75,4,10,15,32,14
S0308 ENABOISHU,CENTRE WITH 40 CANDIDATES OR MORE,902/3488,49/173,3.7789,ARUSHA,185,203,5,198,0,0,198,4,17,54,110,13
S0309 FIDEL CASTRO,CENTRE WITH 40 CANDIDATES OR MORE,146/3488,1/29,2.4718,KUSINI PEMBA,67,67,0,67,0,0,67,20,28,19,0,0
